category_code,category_name,category_code_parent
13855,Drums & Percussion,10592
11879,Guitars,10592
13537,Music Recording Technology,10592
11877,Musical Instrument & Performance Amplifiers,10592
11878,Musical Instrument Digital Interfaces & Synthesizers,10592
13424,Pianos & Keyboards,10592
13546,Pop Music,10109
10570,Radio,10109
10587,Internet Radio,10570
11865,Radio Programs & Shows,10570
12971,Satellite Radio,10570
10588,Record Labels,10109
13547,Religious Music,10109
13548,Christian & Gospel Music,13547
13549,Rock Music,10109
13550,Classic Rock & Oldies,13549
13551,Hard Rock & Progressive,13549
13553,Metal (Music),13549
13554,Punk Rock,13549
10589,Song Lyrics & Tabs,10109
13568,Songwriters & Composers,10109
13555,Soundtracks,10109
13556,Urban & Hip-Hop,10109
13557,Rap & Hip-Hop,13556
13743,Reggaeton,13556
13558,Soul & R&B,13556
13832,Vinyl Records,10109
13559,Vocals & Show Tunes,10109
13560,World Music,10109
13561,African Music,13560
13562,Arab & Middle Eastern Music,13560
13563,East Asian Music,13560
13564,Reggae & Caribbean Music,13560
13565,South Asian Music,13560
13566,Offbeat,10013
13567,Edgy & Bizarre,13566
10110,Sports Entertainment,10013
10598,Fantasy Sports,10110
13635,Professional Wrestling,10110
10597,Sport Scores & Statistics,10110
11883,Sports Event Tickets & Ticketing Services,10110
10599,Sports Fan Sites & Blogs,10110
10103,TV & Video,10013
13511,Blu-Ray Discs,10103
10561,DVD & Blu-Ray Retailers,10103
13824,DVD & Video Rentals,10103
10558,Entertainment DVDs,10103
10553,Movie & TV Fan Sites,10103
13572,Movie & TV Reference,10103
10560,"Movie Reviews, Previews & Listings",13572
13730,TV Guides & Reference,13572
10556,Video Clips,10103
10562,Video On Demand,10103
13388,Visual Art & Design,10013
13595,Painting,13388
10005,Beauty & Personal Care,
10050,Anti-Aging,10005
11434,Anti-Aging Creams & Moisturizers,10050
13422,Body Art,10005
10898,Body Jewelry & Piercings,13422
10315,Tattoo Removal,13422
13636,Fashion & Style,10005
13637,Fashion Designers & Collections,13636
13638,Fashion Modeling,13636
11414,Virtual Makeovers,13636
10055,Hair Care,10005
10335,Damaged Hair,10055
10337,Hair Dyes & Coloring,10055
10477,Hair Loss,10055
11727,Hair Loss Procedures,10477
11726,Hair Loss Products,10477
10336,Hair Straighteners & Relaxers,10055
10339,Hair Styling,10055
10340,Hair Brushes & Styling Equipment,10339
10333,Hair Salons & Styling Services,10339
10338,Shampoos & Conditioners,10055
10332,Wigs & Wig Accessories,10055
10060,Hygiene & Toiletries,10005
10355,"Antiperspirants, Deodorants & Body Spray",10060
10354,"Cotton Swabs, Balls & Pads",10060
10356,Feminine Hygiene Products,10060
11432,Sanitary Pads & Napkins,10356
11433,Tampons,10356
13866,Insect Repellent,10005
10053,Lip Care,10005
10054,Make-Up & Cosmetics,10005
10325,Blush,10054
10329,Concealer,10054
10324,Eye Make-Up,10054
11419,Eyeshadow,10324
11420,Mascara & Eyelash Products,10324
10327,Face Powder,10054
10330,Foundation,10054
10323,Lipsticks & Lip Glosses,10054
10331,Make-Up Brushes & Tools,10054
10051,Nail Care,10005
10322,Manicures & Pedicures,10051
10320,Nail Care Tools,10051
10321,Nail Fungus Products,10051
10319,Nail Polish & Nail Polish Accessories,10051
10059,Oral Care,10005
10345,Canker Sore Treatments,10059
10349,Dental Care Gum,10059
10347,Dental Floss & Gum Health,10059
10353,Denture Care,10059
10348,Mouthwash,10059
10346,Teeth Whitening,10059
10351,Toothache Relief,10059
10352,Toothbrushes & Toothbrush Accessories,10059
11431,Manual Toothbrushes,10352
11430,Powered Toothbrushes,10352
10350,Toothpaste,10059
10057,Perfumes & Fragrances,10005
10058,Shaving & Grooming,10005
10342,Personal Grooming Kits & Equipment,10058
11425,Razors & Shavers,10058
12726,Electric Shavers,11425
13244,Men's Electric Shavers,12726
13243,Women's Electric Shavers & Epilators,12726
12727,Razors,11425
13246,Men's Razors,12727
13245,Women's Razors,12727
10343,Unwanted Body & Facial Hair Removal,10058
12724,Electrolysis,10343
11422,Hair Removal Creams,10343
12725,Laser Hair Removal,10343
12723,Professional Waxing,10343
11423,Waxing Products & Accessories,10343
10047,Skin Care,10005
10309,Body Cleansing,10047
11410,Bath Additions,10309
11411,Bathing Equipment,10309
12721,Body Wipes,10309
11412,Hand & Body Soaps & Cleansers,10309
12722,Liquid Soaps,11412
10310,Body Lotions & Oils,10047
13850,Exfoliants & Scrubs,10047
10061,Face Care,10047
10358,Face Lotions & Moisturizers,10061
10359,Facial Cleansers & Make-Up Removers,10061
10049,Spa & Medical Spa,10005
10316,Aromatherapy & Essential Oils,10049
10314,At-Home Spa Equipment,10049
10317,Cosmetic Procedures,10049
11418,Laser Skin Treatments,10317
11417,Microdermabrasion,10317
11416,Non-Surgical Fat Loss,10317
11415,Permanent Make-up Services,10317
12939,Wrinkle Treatments,10317
13704,Day Spas & Salon Spas,10049
13705,Destination & Resort Spas,10049
13446,Saunas,10049
10048,Tanning & Sun Care,10005
10311,Sun Lotions & Sunscreen,10048
11413,Self-Tanning Lotions & Products,10311
10313,Tanning Beds,10048
10312,Tanning Services,10048
10004,Business & Industrial,
13864,Aerospace & Defense,10004
13460,Agriculture,10004
11194,Agricultural Equipment,13460
12444,Balers,11194
12438,Crop Sprayers,11194
12440,Cultivators,11194
12443,Farm Tractors,11194
13159,Front End Loaders,12443
13160,Walking Tractors,12443
12439,Feed Grinders,11194
12441,Grain Augers & Conveyors,11194
12434,Manure & Seed Spreaders,11194
12436,Rock Pickers,11194
11074,Agricultural Research,13460
11076,Agricultural Testing & Analysis,13460
12357,Crop Consulting,11076
12356,Soil Testing & Analysis,11076
12552,Agrochemicals,13460
11073,Aquaculture & Fishery Services,13460
11188,Crops,13460
12428,Cereal & Grain,11188
12427,Seed,11188
11083,Forestry,13460
12423,Firewood & Firewood Equipment,11083
13156,Firewood Processors,12423
13157,Log Splitters,12423
12422,Land-Clearing,11083
12366,Logging & Milling,11083
11078,Horticulture,13460
13375,Greenhouse & Nursery Equipment & Supplies,11078
11190,Irrigation,13460
12430,Sprinklers,11190
12429,Water Hoses & Accessories,11190
11192,Livestock,13460
12432,Cattle,11192
12433,Domestic Pigs,11192
12365,Livestock Auctioning,11192
12361,Livestock Breeding,11192
12360,Livestock Feed,11192
12364,Livestock Slaughtering & Processing,11192
12431,Poultry,11192
11301,Natural Fibers,13460
10282,Building Construction & Maintenance,10004
13797,Building Materials & Supplies,10282
10700,Architectural Salvage & Reclaimed Building Materials,13797
11281,Awnings & Canopies,13797
13867,Ceilings,13797
11299,Doors & Windows,13797
12616,Exterior & Interior Doors,11299
12617,Garage Doors,11299
12613,Windows,11299
11139,Window Repair,12613
12614,Window Screens & Outdoor Shutters,12613
11294,Drywall,13797
11295,Electrical Wiring,13797
11286,Exterior Siding,13797
12585,Stucco,11286
12586,Vinyl Siding,11286
12587,Wood Siding,11286
11288,Flooring,13797
12598,Concrete Flooring,11288
11136,Flooring Installation,11288
12599,Laminate Flooring,11288
12596,Linoleum & Marmoleum Flooring,11288
12594,Rugs & Carpet,11288
12593,Stone Flooring,11288
12600,Vinyl Flooring,11288
12595,Wood Flooring,11288
11283,Insulation,13797
12425,Wood & Lumber,13797
11138,Building Painting Services,10282
11151,Building Restoration & Preservation,10282
11133,Chimney Services,10282
11141,Commercial & General Contracting,10282
11154,Construction Consulting,10282
11145,Construction Estimation,10282
11276,Construction Trailers,10282
11297,Decking Products & Equipment,10282
11148,Demolition Services,10282
11275,Earth Movers & Construction Tractors,10282
13158,Back Hoe Loaders,11275
12445,Skid Steer Loaders,11275
13731,Eco-Friendly Building & Construction,10282
11143,Electrician Services,10282
11132,Excavation Services,10282
11284,HVAC & Climate Control,10282
12582,Air Conditioners,11284
11147,HVAC Service & Repair,11284
12584,Heaters & Furnaces,11284
13803,Residential Boilers,11284
12583,Ventilators,11284
11277,Handrails,10282
11287,Hardware Tools & Accessories,10282
13219,Drills,11287
13222,Hammers,11287
12589,Hardware Accessories,11287
13199,Ball Bearings,12589
13193,Belts & Belting,12589
13196,Coils & Springs,12589
13204,Drill Bits,12589
13200,Fasteners & Hooks,12589
13201,Gaskets & Seals,12589
13197,Grommets,12589
13203,Hinges & Latches,12589
13202,Knobs,12589
13198,Mechanical Bushings,12589
13195,Nails,12589
13194,Power Tool Accessories,12589
13319,Screws,12589
12590,Power Tools,11287
13213,Chainsaws,12590
13207,Grinders,12590
13210,Nailguns,12590
13216,Planers,12590
13206,Power Drills,12590
13215,Power Router,12590
13212,Power Saws,12590
13675,Band Saw,13212
13321,Table Saws,13212
13211,Rotary Tools,12590
13208,Sanders,12590
13205,Stud Sensors & Detectors,12590
13218,Riveters,11287
13221,Saws,11287
13217,Screwdrivers,11287
13674,Tool Belts,11287
12592,Tool Storage & Accessories,11287
13823,Woodworking Tools & Equipment,11287
13220,Wrenches,11287
11280,House Paints & Stains,10282
11293,Installation Lighting,10282
11308,Exit & Emergency Signs & Lights,11293
12611,Exterior Lighting,11293
12610,Interior Lighting,11293
12612,Lighting Fixtures,11293
12609,Track Lighting,11293
11278,Kitchen & Bathroom Counters,10282
11150,Landscaping & Landscape Design,10282
11153,Locks & Locksmiths,10282
12417,Key Making & Copying,11153
11292,Masonry,10282
12606,Bricks,11292
12607,Cement & Concrete,11292
11146,Concrete Mixing & Pouring,11292
12608,Stone,11292
13462,Plumbing,10282
12603,Indoor Fire Sprinklers,13462
12602,Plumbing Fixtures,13462
13228,Bathroom Fixtures,12602
13326,Bathroom Faucets & Shower Heads,13228
13325,Bathtubs,13228
13342,"Showers, Shower Doors & Enclosures",13228
13328,Sinks & Basins,13228
13327,Toilets,13228
13230,Faucets,12602
13229,Kitchen Fixtures,12602
13329,Kitchen Faucets & Sprayers,13229
12601,"Pumps, Valves & Accessories",13462
13227,Hoses,12601
13224,Pipe Fittings,12601
13226,"Pipes, Tubes & Tubing",12601
13225,Plumbing Pumps,12601
13223,Valves,12601
13191,Water Heaters,13462
12605,Water Softeners,13462
11279,Prefabricated Buildings,10282
11149,Property Inspection & Coding,10282
11298,Rebar & Rebar Accessories,10282
11285,Roofing,10282
11140,Roofing Installation & Repair,11285
12597,Tiles & Tiling,10282
13848,Urban & Regional Planning,10282
10276,Business Management,10004
11088,Advertising & Marketing,10276
13412,Classified Ads,11088
12379,Direct Marketing,11088
12382,"Dubbing, Narration & Voice-Over",11088
12376,Internet Marketing,11088
13153,Affiliate Marketing,12376
13154,Email Marketing,12376
13155,Pay Per Click Marketing,12376
13152,Search Engine Marketing,12376
13316,Search Engine Optimization,13152
13317,Search Engine Paid Placement,13152
13755,Loyalty Cards & Programs,11088
11101,Mailing Lists & Email Newsletters,11088
12381,Market Research,11088
13442,Surveys,12381
13728,Political Polls & Surveys,13442
12378,Marketing Consulting,11088
12377,Public Relations,11088
12380,Telemarketing,11088
13411,Business Opportunities,10276
13762,Home-Based Business Opportunities,13411
